#{"t_start": 1763426090.0441854, "env_id": "None"}
r,l,t
-11.174062,218,86.724428
-5.709677,190,87.095443
-6.367224,206,87.641298
-7.569546,274,88.239775
-4.956364,194,88.547801
-5.173089,182,116.937469
-5.361632,214,117.183211
-6.283834,272,117.545491
-3.23777,244,117.92069
-5.637278,242,118.23943
-5.699291,130,141.371446
-0.944749,152,141.611051
-5.096368,158,141.886363
-5.054085,218,142.216205
-4.413707,202,142.503343
-5.480335,214,170.662462
-2.30372,204,171.071346
-5.390129,118,171.290487
-4.23175,182,171.80797
-5.120714,146,172.31472
-5.816825,82,209.300305
-5.736007,82,209.541868
-5.662,82,209.777999
-5.593966,82,209.986583
-5.531202,82,210.167156
-0.297802,104,242.674728
-4.817417,214,242.98431
-0.739895,144,243.229237
-0.659332,176,243.492469
-5.933525,155,243.75694
-4.044535,256,299.122415
-0.655024,188,299.599417
-5.342887,190,300.041545
-5.721559,179,300.458427
-0.385895,112,300.812595
-4.910526,194,335.792566
-6.498207,266,336.249653
-0.47713,140,336.443856
-5.280367,171,336.727674
-0.525404,176,336.985764
-8.691569,239,361.744663
-6.026115,142,362.020702
-0.38141,140,362.231024
-0.252455,112,362.412583
-5.335879,146,362.631225
-4.864918,174,393.461285
-5.806877,127,393.677541
-5.403647,211,394.116371
-5.268389,222,394.608063
-5.03916,210,395.092866
