#{"t_start": 1763426090.0316086, "env_id": "None"}
r,l,t
-6.946768,436,49.078773
-7.699773,398,52.237244
-7.656496,378,53.914853
-6.79475,387,56.168333
-1.579369,244,57.476026
-4.591011,328,59.723239
-5.516677,312,60.299178
-2.897189,288,61.189793
-8.320162,424,63.272211
-1.635037,244,64.894113
-0.45437,184,65.912265
-1.203944,200,66.992448
0.071981,100,66.803249
-2.109746,220,68.786961
0.142174,104,69.061
-4.532817,262,69.717084
-3.066646,272,70.455554
-4.155031,332,71.32004
-3.863119,302,72.105139
-1.098471,232,72.787414
-1.522309,204,73.302936
-0.154896,156,73.674319
-4.582488,308,75.692373
-0.538689,172,76.103311
-4.132092,308,76.837012
0.143315,124,77.127359
-8.739358,354,78.086735
-0.087075,152,78.438901
-1.271433,228,79.054976
-9.71076,389,80.054703
0.068364,104,80.338635
-8.99891,438,82.34866
-4.484251,316,83.141922
-3.393841,234,83.972362
-0.944212,176,84.583039
-7.899689,420,85.63658
-1.072621,188,86.067764
-2.205079,244,89.364724
0.037127,120,90.731278
0.104368,88,90.939123
-0.53428,144,91.287881
-3.220376,272,92.138595
-5.245605,342,93.003897
-7.944122,404,94.053369
-5.936387,352,94.947553
-1.072049,216,95.475198
-5.369196,278,97.647587
-1.108539,236,98.581282
-1.629685,220,98.591175
-10.736259,429,100.396926
-0.179191,124,100.651368
-0.192918,136,100.998604
-5.859565,340,102.005622
-0.170235,124,102.305528
-0.716529,232,103.113324
-2.018447,224,104.658257
-5.864024,316,105.339402
-4.300244,300,106.039266
-1.810394,248,106.481234
-0.826717,192,106.809046
-0.155049,128,107.030471
-3.173302,316,107.623765
-13.129046,503,109.45546
0.123313,96,109.63712
-4.191933,308,110.148643
-5.650276,350,110.83485
0.087346,120,111.018463
-4.125802,286,111.477399
-5.543294,350,112.118307
-0.940018,172,112.505681
-1.483049,224,112.880604
-2.704483,288,114.124275
-4.205909,250,114.619402
-1.928015,252,115.081375
0.254719,116,115.26905
-2.583744,276,115.759539
-9.161223,436,116.648663
-4.293788,304,118.852237
-2.870942,256,120.138672
-1.804321,220,120.708173
-0.507891,196,121.059546
-0.823729,148,121.333628
-4.376839,270,121.879017
-2.2047,168,122.193375
0.058936,124,122.439328
-5.127695,316,123.089206
-3.323075,288,123.641653
-4.516667,272,125.065225
-1.241113,220,125.494486
-3.534296,284,126.102758
-7.749122,370,126.782829
-2.800607,232,127.259072
0.154367,92,127.412272
-6.071752,340,128.100284
-3.679568,246,128.481573
0.009659,116,128.661629
-0.917142,192,129.811763
-3.482416,218,130.321075
-0.440356,156,129.918682
-3.171558,224,130.474402
-0.731414,188,131.006486
-2.948575,252,131.553754
0.4173,88,131.807356
-5.383929,294,132.456301
-0.158776,172,132.759884
-0.17031,140,133.026771
-3.165951,264,133.476205
-4.350434,316,134.857974
-3.982531,304,135.468957
-2.767783,260,135.889798
-1.941992,216,136.285928
-10.166597,414,137.080409
-3.280397,284,137.547059
-0.106398,140,137.81449
0.139387,120,138.782609
-11.769128,399,139.582798
0.200416,124,139.785979
-3.441919,288,140.339658
-0.142096,120,140.509671
-10.456387,407,142.669321
-1.468577,204,143.239251
-7.976886,368,144.049249
-0.54072,140,145.000929
-2.231647,216,145.420183
-7.019368,380,146.186952
-7.518678,295,146.725896
-3.394021,276,147.253896
0.101066,132,147.549339
-2.021593,236,147.970103
-1.628483,236,148.377846
-1.902786,240,148.895505
-2.976032,236,149.99872
-0.463708,144,150.234125
0.143749,104,150.425381
-4.859174,298,150.925112
-0.135055,128,151.198073
-0.100403,156,151.484278
-0.385919,164,151.802746
-3.339297,204,152.18987
-1.865165,248,152.606037
-8.856827,326,153.204411
